Gene	Start	Stop
ADK2	1	315
AGB1	316	597
AGX	598	903
ALG11	904	1186
ALIS1	1187	1360
AMP2B	1361	1713
AP3M1	1714	2059
AP3S1	2060	2193
AP4M	2194	2569
AP4S1	2570	2703
APBLC	2704	3297
AR21	3298	3440
ARP2	3441	3813
ARP3	3814	4175
ARPC1	4176	4565
ARPC4	4566	4727
ATG2	4728	5018
ATP6	5019	5158
ATP6V0A1	5159	5672
ATP6V0D1	5673	5993
ATSAR2	5994	6168
BAT1	6169	6551
BTUB	6552	6981
C3H4	6982	7138
CALR	7139	7434
CAPZ	7435	7634
CC1	7635	7852
CCDC113	7853	8099
CCDC37	8100	8407
CCDC40	8408	9065
CCDC65	9066	9446
CCT-A	9447	9955
CCT-B	9956	10463
CCT-D	10464	10970
CCT-E	10971	11498
CCT-G	11499	12012
CCT-N	12013	12514
CCT-T	12515	13022
CCT-Z	13023	13521
CDK5	13522	13906
CLAT	13907	15457
COP-BETA	15458	16243
COPE	16244	16462
COPG2	16463	17072
COPS6	17073	17308
CORO1C	17309	17674
CPN60	17675	18190
CRFG	18191	18600
CRNL1	18601	19208
CS	19209	19618
CTP	19619	20098
DHSA1	20099	20672
DHSB3	20673	20874
DIMT1L	20875	21136
DNAI2	21137	21601
DNAL1	21602	21745
DRG2	21746	22092
EFG-MITO	22093	22735
EFTUD1	22736	23274
EIF3C	23275	23633
EIF3I	23634	23917
EIF4A3	23918	24292
FAM	24293	24534
FTSJ1	24535	24728
GCST	24729	25060
GDI	25061	25186
GDI2	25187	25603
GLCN	25604	25867
GLGB2	25868	26466
GMPP3	26467	26803
GNB2L	26804	27087
GNL2	27088	27449
GRC5	27450	27653
GSS	27654	27949
GTUB	27950	28374
H2A	28375	28477
HMT1	28478	28794
HSP70MT	28795	29354
HYOU1	29355	29673
IF2B	29674	29809
IF2G	29810	30228
IF2P	30229	30791
IF6	30792	31022
IFT46	31023	31229
IFT57	31230	31508
IFT88	31509	32057
IMB1	32058	32736
IMP4	32737	32998
IPO4	32999	33461
IPO5	33462	34081
KDELR2	34082	34270
L10A	34271	34478
MAT	34479	34843
MCM-A	34844	35304
MCM-B	35305	35867
MCM-C	35868	36222
MCM-D	36223	36718
MCM-E	36719	37191
METTL1	37192	37383
MRA1	37384	37575
MTHFR	37576	38060
MTLPD2	38061	38521
NAA15	38522	39000
NDF1	39001	39416
NDUFV2-MITO	39417	39602
NFS1-MITO	39603	39999
NMD3	40000	40338
NOP5A	40339	40725
NSA2	40726	40979
NSF1-C	40980	41287
NSF1-G	41288	41669
NSF1-H	41670	41886
NSF1-I	41887	42288
NSF1-J	42289	42667
NSF1-K	42668	43058
NSF1-L	43059	43436
NSF1-M	43437	43830
ODBA	43831	44173
ODBB	44174	44490
ODO2A	44491	44719
ODPA2	44720	45030
ODPB	45031	45352
OPLAH	45353	45946
ORF2	45947	46121
PACE2-A	46122	46368
PACE2C	46369	46584
PACE5	46585	46753
PGM2	46754	47210
PIK3C3	47211	47444
PPP2R3	47445	47705
PPP2R5C	47706	48066
PPX2	48067	48367
PSD11	48368	48735
PSD7	48736	48999
PSMA-A	49000	49224
PSMA-B	49225	49441
PSMA-C	49442	49657
PSMA-E	49658	49881
PSMA-F	49882	50105
PSMA-G	50106	50343
PSMA-H	50344	50526
PSMA-J	50527	50724
PSMB-K	50725	50925
PSMB-L	50926	51122
PSMB-M	51123	51321
PSMB-N	51322	51526
PSMD	51527	51814
PSMD12	51815	52188
PSMD6	52189	52515
PURA	52516	52890
PYGB	52891	53605
RAD51A	53606	53912
RAN	53913	54112
RF1	54113	54517
RHEB	54518	54679
RICTOR	54680	55267
RPAC1	55268	55475
RPF1	55476	55698
RPL11	55699	55862
RPL12	55863	56026
RPL13A	56027	56193
RPL13E	56194	56326
RPL14E	56327	56442
RPL15	56443	56640
RPL17	56641	56786
RPL19	56787	56947
RPL2	56948	57195
RPL20	57196	57357
RPL21	57358	57482
RPL24A	57483	57592
RPL3	57593	57959
RPL30	57960	58054
RPL31	58055	58153
RPL32	58154	58276
RPL33	58277	58377
RPL35	58378	58497
RPL43	58498	58585
RPL44	58586	58675
RPL4B	58676	58976
RPL5	58977	59219
RPL7A	59220	59425
RPL9	59426	59597
RPN1B	59598	60350
RPO-A	60351	60845
RPO-B	60846	61967
RPO-C	61968	62923
RPPO	62924	63183
RPS10	63184	63269
RPS11	63270	63398
RPS12	63399	63511
RPS15	63512	63647
RPS16	63648	63784
RPS17	63785	63896
RPS18	63897	64035
RPS2	64036	64246
RPS20	64247	64344
RPS23	64345	64485
RPS26	64486	64580
RPS3	64581	64791
RPS4	64792	65041
RPS5	65042	65229
RPS6	65230	65433
RPS8	65434	65600
RPTOR	65601	66012
RRAGD	66013	66295
S15A	66296	66424
S15P	66425	66575
SAP40	66576	66773
SCO1-MITO	66774	66907
SCSB	66908	67279
SEC23	67280	67962
SF3B2	67963	68184
SND1	68185	68612
SPTC2	68613	69023
SPTLC1	69024	69289
SRA	69290	69577
SRP54	69578	69996
STXBP1	69997	70355
SUCA	70356	70640
SYGM1	70641	71180
TM9SF1	71181	71667
TMS	71668	71784
TOPO1	71785	72204
TRS	72205	72776
UBA3	72777	73076
UBE12	73077	73824
VAPA	73825	73872
VATA	73873	74452
VATB	74453	74906
VATC	74907	75134
VATE	75135	75309
VBP1	75310	75457
VPS18	75458	75956
VPS26B	75957	76192
WBSCR22	76193	76416
WD	76417	76687
WD66	76688	77048
WRS	77049	77417
XPB	77418	77803
YKT6	77804	77965
